NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV1FFLX026,BUSLVFLX1308,0.24,1,1,1,1,PVprofile,1
PV1FFLX027,BUSLVFLX1313,0.24,1,1,1,1,PVprofile,1
PV1FFLX028,BUSLVFLX1319,0.24,1,1,1,1,PVprofile,1
PV1FFLX029,BUSLVFLX1336,0.24,1,1,1,1,PVprofile,1
PV1FFLX030,BUSLVFLX1344,0.24,1,1,1,1,PVprofile,1
PV1FFLX031,BUSLVFLX1347,0.24,1,1,1,1,PVprofile,1
PV1FFLX032,BUSLVFLX1350,0.24,1,1,1,1,PVprofile,1
PV1FFLX033,BUSLVFLX1360,0.24,1,1,1,1,PVprofile,1
PV1FFLX034,BUSLVFLX1374,0.24,1,1,1,1,PVprofile,1
PV1FFLX035,BUSLVFLX1376,0.24,1,1,1,1,PVprofile,1
PV1FFLX036,BUSLVFLX1379,0.24,1,1,1,1,PVprofile,1