NAME,PHASES,HV_BUS,LV_BUS,VN_HV_KV,VN_LV_KV,SN_MVA,VKR_PERCENT,VK_PERCENT,PFE_KW,I0_PERCENT
FLX1P_1,1,BUSMVFLX96,BUSLVFLX1,19.92,0.12,50,1.1,5.5,0,0
FLX1P_2,1,BUSMVFLX77,BUSLVFLX2,19.92,0.12,15,1.1,5.5,0,0
FLX1P_3,1,BUSMVFLX116,BUSLVFLX3,19.92,0.12,50,1.1,5.5,0,0
FLX1P_4,1,BUSMVFLX72,BUSLVFLX4,19.92,0.12,50,1.1,5.5,0,0
FLX1P_5,1,BUSMVFLX78,BUSLVFLX5,19.92,0.12,15,1.1,5.5,0,0
FLX1P_6,1,BUSMVFLX86,BUSLVFLX6,19.92,0.12,50,1.1,5.5,0,0
FLX1P_7,1,BUSMVFLX107,BUSLVFLX7,19.92,0.12,50,1.1,5.5,0,0
FLX1P_8,1,BUSMVFLX99,BUSLVFLX8,19.92,0.12,50,1.1,5.5,0,0
FLX1P_9,1,BUSMVFLX102,BUSLVFLX9,19.92,0.12,15,1.1,5.5,0,0
FLX1P_10,1,BUSMVFLX91,BUSLVFLX10,19.92,0.12,25,1.1,5.5,0,0
FLX1P_11,1,BUSMVFLX106,BUSLVFLX11,19.92,0.12,50,1.1,5.5,0,0
FLX1P_12,1,BUSMVFLX89,BUSLVFLX12,19.92,0.12,25,1.1,5.5,0,0
FLX1P_13,1,BUSMVFLX97,BUSLVFLX13,19.92,0.12,25,1.1,5.5,0,0
FLX1P_14,1,BUSMVFLX112,BUSLVFLX14,19.92,0.12,25,1.1,5.5,0,0
FLX1P_15,1,BUSMVFLX119,BUSLVFLX15,19.92,0.12,25,1.1,5.5,0,0
FLX1P_16,1,BUSMVFLX111,BUSLVFLX16,19.92,0.12,15,1.1,5.5,0,0
FLX1P_17,1,BUSMVFLX121,BUSLVFLX17,19.92,0.12,100,1.1,5.5,0,0
FLX1P_18,1,BUSMVFLX122,BUSLVFLX18,19.92,0.12,100,1.1,5.5,0,0
FLX1P_19,1,BUSMVFLX123,BUSLVFLX19,19.92,0.12,100,1.1,5.5,0,0
FLX1P_20,1,BUSMVFLX124,BUSLVFLX20,19.92,0.12,100,1.1,5.5,0,0
FLX1P_21,1,BUSMVFLX80,BUSLVFLX21,19.92,0.12,50,1.1,5.5,0,0
FLX1P_22,1,BUSMVFLX83,BUSLVFLX22,19.92,0.12,50,1.1,5.5,0,0
FLX1P_23,1,BUSMVFLX84,BUSLVFLX23,19.92,0.12,25,1.1,5.5,0,0
FLX1P_24,1,BUSMVFLX75,BUSLVFLX24,19.92,0.12,25,1.1,5.5,0,0
FLX3P_1,3,BUSMVFLX70,BUSLVFLX27,34.5,0.48,500,1.1,5.5,0,0
FLX3P_2,3,BUSMVFLX2,BUSLVFLX28,34.5,0.208,75,1.1,5.5,0,0
FLX3P_3,3,BUSMVFLX16,BUSLVFLX29,34.5,0.208,112,1.1,5.5,0,0
FLX3P_4,3,BUSMVFLX71,BUSLVFLX30,34.5,0.208,500,1.1,5.5,0,0
FLX3P_5,3,BUSMVFLX50,BUSLVFLX31,34.5,0.208,75,1.1,5.5,0,0
FLX3P_6,3,BUSMVFLX36,BUSLVFLX32,34.5,0.208,75,1.1,5.5,0,0
FLX3U3P_1,1,BUSMVFLX61,BUSLVFLX25,19.92,0.12,25.0,1.1,5.5,0,0
FLX3U3P_2,1,BUSMVFLX63,BUSLVFLX26,19.92,0.12,25.0,1.1,5.5,0,0